"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","test_main","CHROMIUM","2026-06-19","passed","2026-06-19","","test_main","",""
"","1505","test_login_invalid_username[empty-user]","WEBKIT","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1661","test_login_invalid_password[wrong-pass]","FIREFOX","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1423","test_login_invalid_username[empty-user-pass]","WEBKIT","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1612","test_login_invalid_username[wrong-user-pass]","FIREFOX","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1368","test_login_invalid_username[wrong-user-pass]","WEBKIT","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","983","test_main","WEBKIT","2026-06-19","passed","2026-06-19","","test_main","",""
"","367","test_login_invalid_password[wrong-pass]","CHROMIUM","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","2262","test_full_login_logout_valid","FIREFOX","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1615","test_login_invalid_username[wrong-user]","FIREFOX","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1681","test_login_invalid_username[empty-user-pass]","FIREFOX","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1453","test_login_invalid_password[empty-pass]","WEBKIT","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1662","test_login_invalid_username[empty-user]","FIREFOX","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","366","test_login_invalid_username[wrong-user]","CHROMIUM","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","390","test_login_invalid_username[empty-user]","CHROMIUM","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","362","test_login_invalid_username[empty-user-pass]","CHROMIUM","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1469","test_login_invalid_password[wrong-pass]","WEBKIT","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1642","test_login_invalid_password[empty-pass]","FIREFOX","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","373","test_login_invalid_username[wrong-user-pass]","CHROMIUM","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","381","test_login_invalid_password[empty-pass]","CHROMIUM","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1463","test_login_invalid_username[wrong-user]","WEBKIT","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","1174","test_main","FIREFOX","2026-06-19","passed","2026-06-19","","test_main","",""
"","571","test_full_login_logout_valid","CHROMIUM","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
"","3114","test_full_login_logout_valid","WEBKIT","2026-06-19","passed","2026-06-19","TestLogin","test_login","",""
